,Year,Period,Data Item,Value
0,1950,YEAR,ACRES HARVESTED,"72,398,000"
1,1951,YEAR,ACRES HARVESTED,"71,191,000"
2,1952,YEAR,ACRES HARVESTED,"71,353,000"
3,1953,YEAR,ACRES HARVESTED,"70,738,000"
4,1954,YEAR,ACRES HARVESTED,"68,668,000"
5,1955,YEAR,ACRES HARVESTED,"68,462,000"
6,1956,YEAR,ACRES HARVESTED,"64,877,000"
7,1957,YEAR,ACRES HARVESTED,"63,065,000"
8,1958,YEAR,ACRES HARVESTED,"63,549,000"
9,1959,YEAR,ACRES HARVESTED,"72,091,000"
10,1960,YEAR,ACRES HARVESTED,"71,422,000"
11,1961,YEAR,ACRES HARVESTED,"57,634,000"
12,1962,YEAR,ACRES HARVESTED,"55,726,000"
13,1963,YEAR,ACRES HARVESTED,"59,227,000"
14,1964,YEAR,ACRES HARVESTED,"55,369,000"
15,1965,YEAR,ACRES HARVESTED,"55,392,000"
16,1966,YEAR,ACRES HARVESTED,"57,002,000"
17,1967,YEAR,ACRES HARVESTED,"60,694,000"
18,1968,YEAR,ACRES HARVESTED,"55,980,000"
19,1969,YEAR,ACRES HARVESTED,"54,574,000"
20,1970,YEAR,ACRES HARVESTED,"57,358,000"
21,1971,YEAR,ACRES HARVESTED,"64,123,000"
22,1972,YEAR,ACRES HARVESTED,"57,513,000"
23,1973,YEAR,ACRES HARVESTED,"62,143,000"
24,1974,YEAR,ACRES HARVESTED,"65,405,000"
25,1975,YEAR,ACRES HARVESTED,"67,625,000"
26,1976,YEAR,ACRES HARVESTED,"71,506,000"
27,1977,YEAR,ACRES HARVESTED,"71,614,000"
28,1978,YEAR,ACRES HARVESTED,"71,930,000"
29,1979,YEAR,ACRES HARVESTED,"72,400,000"
30,1980,YEAR,ACRES HARVESTED,"72,961,000"
31,1981,YEAR,ACRES HARVESTED,"74,524,000"
32,1982,YEAR,ACRES HARVESTED,"72,719,000"
33,1983,YEAR,ACRES HARVESTED,"51,479,000"
34,1984,YEAR,ACRES HARVESTED,"71,897,000"
35,1985,YEAR,ACRES HARVESTED,"75,209,000"
36,1986,YEAR,ACRES HARVESTED,"68,907,000"
37,1987,YEAR,ACRES HARVESTED,"59,505,000"
38,1988,YEAR,ACRES HARVESTED,"58,250,000"
39,1989,YEAR,ACRES HARVESTED,"64,783,000"
40,1990,YEAR,ACRES HARVESTED,"66,952,000"
41,1991,YEAR,ACRES HARVESTED,"68,822,000"
42,1992,YEAR,ACRES HARVESTED,"72,077,000"
43,1993,YEAR,ACRES HARVESTED,"62,933,000"
44,1994,YEAR,ACRES HARVESTED,"72,514,000"
45,1995,YEAR,ACRES HARVESTED,"65,210,000"
46,1996,YEAR,ACRES HARVESTED,"72,644,000"
47,1997,YEAR,ACRES HARVESTED,"9,713,191"
48,1997,YEAR,ACRES HARVESTED,"7,304,070"
49,1997,YEAR,ACRES HARVESTED,"527,998"
50,1997,YEAR,ACRES HARVESTED,"16,284,005"
51,1997,YEAR,ACRES HARVESTED,"746,730"
52,1997,YEAR,ACRES HARVESTED,"1,472,237"
53,1997,YEAR,ACRES HARVESTED,"2,352,026"
54,1997,YEAR,ACRES HARVESTED,"19,130,322"
55,1997,YEAR,ACRES HARVESTED,"685,792"
56,1997,YEAR,ACRES HARVESTED,"251,092"
57,1997,YEAR,ACRES HARVESTED,"5,532,051"
58,1997,YEAR,ACRES HARVESTED,"16,802,131"
59,1997,YEAR,ACRES HARVESTED,"71,088,454"
60,1997,YEAR,ACRES HARVESTED,"72,671,000"
61,1998,YEAR,ACRES HARVESTED,"72,589,000"
62,1999,YEAR,ACRES HARVESTED,"70,487,000"
63,2000,YEAR,ACRES HARVESTED,"72,440,000"
64,2001,YEAR,ACRES HARVESTED,"68,768,000"
65,2002,YEAR,ACRES HARVESTED,"13,483,258"
66,2002,YEAR,ACRES HARVESTED,"9,622,218"
67,2002,YEAR,ACRES HARVESTED,"343,504"
68,2002,YEAR,ACRES HARVESTED,"13,012,959"
69,2002,YEAR,ACRES HARVESTED,"504,470"
70,2002,YEAR,ACRES HARVESTED,"2,233,269"
71,2002,YEAR,ACRES HARVESTED,"1,702,631"
72,2002,YEAR,ACRES HARVESTED,"16,826,251"
73,2002,YEAR,ACRES HARVESTED,"1,122,753"
74,2002,YEAR,ACRES HARVESTED,"505,018"
75,2002,YEAR,ACRES HARVESTED,"4,249,032"
76,2002,YEAR,ACRES HARVESTED,"18,108,418"
77,2002,YEAR,ACRES HARVESTED,"68,230,523"
78,2002,YEAR,ACRES HARVESTED,"69,330,000"
79,2003,YEAR,ACRES HARVESTED,"70,944,000"
80,2004,YEAR,ACRES HARVESTED,"73,631,000"
81,2005,YEAR,ACRES HARVESTED,"75,117,000"
82,2006,YEAR,ACRES HARVESTED,"70,638,000"
83,2007,YEAR,ACRES HARVESTED,"27,456,899"
84,2007,YEAR,ACRES HARVESTED,"16,873,615"
85,2007,YEAR,ACRES HARVESTED,"321,984"
86,2007,YEAR,ACRES HARVESTED,"12,420,682"
87,2007,YEAR,ACRES HARVESTED,"464,222"
88,2007,YEAR,ACRES HARVESTED,"5,421,247"
89,2007,YEAR,ACRES HARVESTED,"1,592,019"
90,2007,YEAR,ACRES HARVESTED,"17,773,739"
91,2007,YEAR,ACRES HARVESTED,"3,563,268"
92,2007,YEAR,ACRES HARVESTED,"1,598,769"
93,2007,YEAR,ACRES HARVESTED,"3,983,761"
94,2007,YEAR,ACRES HARVESTED,"22,235,236"
95,2007,YEAR,ACRES HARVESTED,"86,248,542"
96,2007,YEAR,ACRES HARVESTED,"86,520,000"
97,2008,YEAR,ACRES HARVESTED,"78,570,000"
98,2009,YEAR,ACRES HARVESTED,"79,490,000"
99,2010,YEAR,ACRES HARVESTED,"81,446,000"
100,2011,YEAR,ACRES HARVESTED,"83,879,000"
101,2012,YEAR,ACRES HARVESTED,"30,028,386"
102,2012,YEAR,ACRES HARVESTED,"17,976,608"
103,2012,YEAR,ACRES HARVESTED,"344,883"
104,2012,YEAR,ACRES HARVESTED,"11,959,698"
105,2012,YEAR,ACRES HARVESTED,"489,143"
106,2012,YEAR,ACRES HARVESTED,"5,737,318"
107,2012,YEAR,ACRES HARVESTED,"1,620,032"
108,2012,YEAR,ACRES HARVESTED,"16,966,822"
109,2012,YEAR,ACRES HARVESTED,"3,539,410"
110,2012,YEAR,ACRES HARVESTED,"2,775,050"
111,2012,YEAR,ACRES HARVESTED,"3,929,956"
112,2012,YEAR,ACRES HARVESTED,"22,074,125"
113,2012,YEAR,ACRES HARVESTED,"22,915,778"
114,2012,YEAR,ACRES HARVESTED,"11,756"
115,2012,YEAR,ACRES HARVESTED,"355,151"
116,2012,YEAR,ACRES HARVESTED,"986,677"
117,2012,YEAR,ACRES HARVESTED,"1,330,673"
118,2012,YEAR,ACRES HARVESTED,"1,212,970"
119,2012,YEAR,ACRES HARVESTED,"33,855,575"
120,2012,YEAR,ACRES HARVESTED,"1,319,216"
121,2012,YEAR,ACRES HARVESTED,"8,073,334"
122,2012,YEAR,ACRES HARVESTED,"293,322"
123,2012,YEAR,ACRES HARVESTED,"16,345,573"
124,2012,YEAR,ACRES HARVESTED,"713,020"
125,2012,YEAR,ACRES HARVESTED,"30,968"
126,2012,YEAR,ACRES HARVESTED,"41,198,719"
127,2012,YEAR,ACRES HARVESTED,"595,900"
128,2012,YEAR,ACRES HARVESTED,"8,146,854"
129,2012,YEAR,ACRES HARVESTED,"70,245"
130,2012,YEAR,ACRES HARVESTED,"1,199,521"
131,2012,YEAR,ACRES HARVESTED,"13,202,993"
132,2012,YEAR,ACRES HARVESTED,"184,558"
133,2012,YEAR,ACRES HARVESTED,"2,904,027"
134,2012,YEAR,ACRES HARVESTED,"19,868,415"
135,2012,YEAR,ACRES HARVESTED,"10,845"
136,2012,YEAR,ACRES HARVESTED,"37,086"
137,2012,YEAR,ACRES HARVESTED,"40,067,039"
138,2012,YEAR,ACRES HARVESTED,"637,931"
139,2012,YEAR,ACRES HARVESTED,"8,453,875"
140,2012,YEAR,ACRES HARVESTED,"80,771"
141,2012,YEAR,ACRES HARVESTED,"1,273,529"
142,2012,YEAR,ACRES HARVESTED,"13,542,550"
143,2012,YEAR,ACRES HARVESTED,"201,685"
144,2012,YEAR,ACRES HARVESTED,"3,051,203"
145,2012,YEAR,ACRES HARVESTED,"20,022,212"
146,2012,YEAR,ACRES HARVESTED,"45,164"
147,2012,YEAR,ACRES HARVESTED,"76,460,501"
148,2012,YEAR,ACRES HARVESTED,"323,127"
149,2012,YEAR,ACRES HARVESTED,"38,905"
150,2012,YEAR,ACRES HARVESTED,"33,553"
151,2012,YEAR,ACRES HARVESTED,"1,829,326"
152,2012,YEAR,ACRES HARVESTED,"81,674"
153,2012,YEAR,ACRES HARVESTED,"301,160"
154,2012,YEAR,ACRES HARVESTED,"1,446,492"
155,2012,YEAR,ACRES HARVESTED,"2,001,560"
156,2012,YEAR,ACRES HARVESTED,"1,480,077"
157,2012,YEAR,ACRES HARVESTED,"2,339,359"
158,2012,YEAR,ACRES HARVESTED,"1,975,772"
159,2012,YEAR,ACRES HARVESTED,"494,883"
160,2012,YEAR,ACRES HARVESTED,"14,940"
161,2012,YEAR,ACRES HARVESTED,"421,042"
162,2012,YEAR,ACRES HARVESTED,"87,413,045"
163,2012,YEAR,ACRES HARVESTED,"87,365,000"
164,2013,YEAR,ACRES HARVESTED,"87,461,000"
165,2014,YEAR,ACRES HARVESTED,"83,146,000"
166,2015,YEAR,ACRES HARVESTED,"80,753,000"
167,2016,YEAR,ACRES HARVESTED,"86,748,000"
168,2017,YEAR,ACRES HARVESTED,"30,769,757"
169,2017,YEAR,ACRES HARVESTED,"17,996,502"
170,2017,YEAR,ACRES HARVESTED,"250,758"
171,2017,YEAR,ACRES HARVESTED,"11,052,437"
172,2017,YEAR,ACRES HARVESTED,"373,394"
173,2017,YEAR,ACRES HARVESTED,"6,250,904"
174,2017,YEAR,ACRES HARVESTED,"1,317,597"
175,2017,YEAR,ACRES HARVESTED,"16,114,376"
176,2017,YEAR,ACRES HARVESTED,"3,797,224"
177,2017,YEAR,ACRES HARVESTED,"2,725,127"
178,2017,YEAR,ACRES HARVESTED,"3,380,290"
179,2017,YEAR,ACRES HARVESTED,"21,479,953"
180,2017,YEAR,ACRES HARVESTED,"21,257,737"
181,2017,YEAR,ACRES HARVESTED,"13,563"
182,2017,YEAR,ACRES HARVESTED,"292,359"
183,2017,YEAR,ACRES HARVESTED,"790,048"
184,2017,YEAR,ACRES HARVESTED,"1,094,075"
185,2017,YEAR,ACRES HARVESTED,"987,002"
186,2017,YEAR,ACRES HARVESTED,"37,098,341"
187,2017,YEAR,ACRES HARVESTED,"1,157,476"
188,2017,YEAR,ACRES HARVESTED,"7,061,529"
189,2017,YEAR,ACRES HARVESTED,"216,973"
190,2017,YEAR,ACRES HARVESTED,"14,237,471"
191,2017,YEAR,ACRES HARVESTED,"531,988"
192,2017,YEAR,ACRES HARVESTED,"25,845"
193,2017,YEAR,ACRES HARVESTED,"39,851,119"
194,2017,YEAR,ACRES HARVESTED,"488,761"
195,2017,YEAR,ACRES HARVESTED,"7,913,615"
196,2017,YEAR,ACRES HARVESTED,"49,539"
197,2017,YEAR,ACRES HARVESTED,"1,038,913"
198,2017,YEAR,ACRES HARVESTED,"12,717,333"
199,2017,YEAR,ACRES HARVESTED,"130,507"
200,2017,YEAR,ACRES HARVESTED,"2,516,797"
201,2017,YEAR,ACRES HARVESTED,"19,989,649"
202,2017,YEAR,ACRES HARVESTED,"16,484"
203,2017,YEAR,ACRES HARVESTED,"26,756"
204,2017,YEAR,ACRES HARVESTED,"38,586,905"
205,2017,YEAR,ACRES HARVESTED,"527,942"
206,2017,YEAR,ACRES HARVESTED,"8,249,901"
207,2017,YEAR,ACRES HARVESTED,"54,744"
208,2017,YEAR,ACRES HARVESTED,"1,105,577"
209,2017,YEAR,ACRES HARVESTED,"13,160,726"
210,2017,YEAR,ACRES HARVESTED,"140,305"
211,2017,YEAR,ACRES HARVESTED,"2,615,895"
212,2017,YEAR,ACRES HARVESTED,"20,228,706"
213,2017,YEAR,ACRES HARVESTED,"41,105"
214,2017,YEAR,ACRES HARVESTED,"72,780,699"
215,2017,YEAR,ACRES HARVESTED,"453,099"
216,2017,YEAR,ACRES HARVESTED,"44,500"
217,2017,YEAR,ACRES HARVESTED,"33,915"
218,2017,YEAR,ACRES HARVESTED,"2,052,515"
219,2017,YEAR,ACRES HARVESTED,"95,347"
220,2017,YEAR,ACRES HARVESTED,"598,516"
221,2017,YEAR,ACRES HARVESTED,"1,358,652"
222,2017,YEAR,ACRES HARVESTED,"2,130,600"
223,2017,YEAR,ACRES HARVESTED,"1,838,347"
224,2017,YEAR,ACRES HARVESTED,"2,191,543"
225,2017,YEAR,ACRES HARVESTED,"2,246,943"
226,2017,YEAR,ACRES HARVESTED,"531,322"
227,2017,YEAR,ACRES HARVESTED,"19,609"
228,2017,YEAR,ACRES HARVESTED,"415,470"
229,2017,YEAR,ACRES HARVESTED,"84,738,562"
230,2017,YEAR,ACRES HARVESTED,"82,733,000"
231,2018,YEAR,ACRES HARVESTED,"81,276,000"
232,2019,YEAR,ACRES HARVESTED,"81,337,000"
233,2020,YEAR,ACRES HARVESTED,"82,467,000"
234,2021,YEAR,ACRES HARVESTED,"84,495,000"
235,1950,YEAR,"PRODUCTION, MEASURED IN BU","2,764,071,000"
236,1951,YEAR,"PRODUCTION, MEASURED IN BU","2,628,937,000"
237,1952,YEAR,"PRODUCTION, MEASURED IN BU","2,980,793,000"
238,1953,YEAR,"PRODUCTION, MEASURED IN BU","2,881,801,000"
239,1954,YEAR,"PRODUCTION, MEASURED IN BU","2,707,913,000"
240,1955,YEAR,"PRODUCTION, MEASURED IN BU","2,872,959,000"
241,1956,YEAR,"PRODUCTION, MEASURED IN BU","3,075,336,000"
242,1957,YEAR,"PRODUCTION, MEASURED IN BU","3,045,355,000"
243,1958,YEAR,"PRODUCTION, MEASURED IN BU","3,356,205,000"
244,1959,YEAR,"PRODUCTION, MEASURED IN BU","3,824,598,000"
245,1960,YEAR,"PRODUCTION, MEASURED IN BU","3,906,949,000"
246,1961,YEAR,"PRODUCTION, MEASURED IN BU","3,597,803,000"
247,1962,YEAR,"PRODUCTION, MEASURED IN BU","3,606,311,000"
248,1963,YEAR,"PRODUCTION, MEASURED IN BU","4,019,238,000"
249,1964,YEAR,"PRODUCTION, MEASURED IN BU","3,484,253,000"
250,1965,YEAR,"PRODUCTION, MEASURED IN BU","4,102,867,000"
251,1966,YEAR,"PRODUCTION, MEASURED IN BU","4,167,608,000"
252,1967,YEAR,"PRODUCTION, MEASURED IN BU","4,860,372,000"
253,1968,YEAR,"PRODUCTION, MEASURED IN BU","4,449,542,000"
254,1969,YEAR,"PRODUCTION, MEASURED IN BU","4,687,057,000"
255,1970,YEAR,"PRODUCTION, MEASURED IN BU","4,152,243,000"
256,1971,YEAR,"PRODUCTION, MEASURED IN BU","5,646,260,000"
257,1972,YEAR,"PRODUCTION, MEASURED IN BU","5,579,832,000"
258,1973,YEAR,"PRODUCTION, MEASURED IN BU","5,670,712,000"
259,1974,YEAR,"PRODUCTION, MEASURED IN BU","4,701,402,000"
260,1975,YEAR,"PRODUCTION, MEASURED IN BU","5,840,757,000"
261,1976,YEAR,"PRODUCTION, MEASURED IN BU","6,289,169,000"
262,1977,YEAR,"PRODUCTION, MEASURED IN BU","6,505,041,000"
263,1978,YEAR,"PRODUCTION, MEASURED IN BU","7,267,927,000"
264,1979,YEAR,"PRODUCTION, MEASURED IN BU","7,928,139,000"
265,1980,YEAR,"PRODUCTION, MEASURED IN BU","6,639,396,000"
266,1981,YEAR,"PRODUCTION, MEASURED IN BU","8,118,650,000"
267,1982,YEAR,"PRODUCTION, MEASURED IN BU","8,235,101,000"
268,1983,YEAR,"PRODUCTION, MEASURED IN BU","4,174,251,000"
269,1984,YEAR,"PRODUCTION, MEASURED IN BU","7,672,130,000"
270,1985,YEAR,"PRODUCTION, MEASURED IN BU","8,875,453,000"
271,1986,YEAR,"PRODUCTION, MEASURED IN BU","8,225,764,000"
272,1987,YEAR,"PRODUCTION, MEASURED IN BU","7,131,300,000"
273,1988,YEAR,"PRODUCTION, MEASURED IN BU","4,928,681,000"
274,1989,YEAR,"PRODUCTION, MEASURED IN BU","7,531,953,000"
275,1990,YEAR,"PRODUCTION, MEASURED IN BU","7,934,028,000"
276,1991,YEAR,"PRODUCTION, MEASURED IN BU","7,474,765,000"
277,1992,YEAR,"PRODUCTION, MEASURED IN BU","9,476,698,000"
278,1993,YEAR,"PRODUCTION, MEASURED IN BU","6,337,730,000"
279,1994,YEAR,"PRODUCTION, MEASURED IN BU","10,050,520,000"
280,1995,YEAR,"PRODUCTION, MEASURED IN BU","7,400,051,000"
281,1996,YEAR,"PRODUCTION, MEASURED IN BU","9,232,557,000"
282,1997,YEAR,"PRODUCTION, MEASURED IN BU","1,277,938,564"
283,1997,YEAR,"PRODUCTION, MEASURED IN BU","954,782,014"
284,1997,YEAR,"PRODUCTION, MEASURED IN BU","46,155,082"
285,1997,YEAR,"PRODUCTION, MEASURED IN BU","1,927,695,870"
286,1997,YEAR,"PRODUCTION, MEASURED IN BU","70,880,772"
287,1997,YEAR,"PRODUCTION, MEASURED IN BU","197,387,210"
288,1997,YEAR,"PRODUCTION, MEASURED IN BU","247,189,880"
289,1997,YEAR,"PRODUCTION, MEASURED IN BU","2,379,211,641"
290,1997,YEAR,"PRODUCTION, MEASURED IN BU","91,368,297"
291,1997,YEAR,"PRODUCTION, MEASURED IN BU","34,401,043"
292,1997,YEAR,"PRODUCTION, MEASURED IN BU","615,230,412"
293,1997,YEAR,"PRODUCTION, MEASURED IN BU","2,168,175,877"
294,1997,YEAR,"PRODUCTION, MEASURED IN BU","8,732,478,098"
295,1997,YEAR,"PRODUCTION, MEASURED IN BU","9,206,832,000"
296,1998,YEAR,"PRODUCTION, MEASURED IN BU","9,758,685,000"
297,1999,YEAR,"PRODUCTION, MEASURED IN BU","9,430,612,000"
298,2000,YEAR,"PRODUCTION, MEASURED IN BU","9,915,051,000"
299,2001,YEAR,"PRODUCTION, MEASURED IN BU","9,502,580,000"
300,2002,YEAR,"PRODUCTION, MEASURED IN BU","1,797,763,099"
301,2002,YEAR,"PRODUCTION, MEASURED IN BU","1,281,012,933"
302,2002,YEAR,"PRODUCTION, MEASURED IN BU","28,692,851"
303,2002,YEAR,"PRODUCTION, MEASURED IN BU","1,565,808,118"
304,2002,YEAR,"PRODUCTION, MEASURED IN BU","45,370,212"
305,2002,YEAR,"PRODUCTION, MEASURED IN BU","299,890,161"
306,2002,YEAR,"PRODUCTION, MEASURED IN BU","173,459,715"
307,2002,YEAR,"PRODUCTION, MEASURED IN BU","2,142,549,203"
308,2002,YEAR,"PRODUCTION, MEASURED IN BU","150,014,749"
309,2002,YEAR,"PRODUCTION, MEASURED IN BU","66,845,256"
310,2002,YEAR,"PRODUCTION, MEASURED IN BU","476,455,129"
311,2002,YEAR,"PRODUCTION, MEASURED IN BU","2,382,963,487"
312,2002,YEAR,"PRODUCTION, MEASURED IN BU","8,613,061,814"
313,2002,YEAR,"PRODUCTION, MEASURED IN BU","8,966,787,000"
314,2003,YEAR,"PRODUCTION, MEASURED IN BU","10,087,292,000"
315,2004,YEAR,"PRODUCTION, MEASURED IN BU","11,805,581,000"
316,2005,YEAR,"PRODUCTION, MEASURED IN BU","11,112,187,000"
317,2006,YEAR,"PRODUCTION, MEASURED IN BU","10,531,123,000"
318,2007,YEAR,"PRODUCTION, MEASURED IN BU","4,282,995,350"
319,2007,YEAR,"PRODUCTION, MEASURED IN BU","2,619,062,466"
320,2007,YEAR,"PRODUCTION, MEASURED IN BU","33,542,995"
321,2007,YEAR,"PRODUCTION, MEASURED IN BU","1,705,815,656"
322,2007,YEAR,"PRODUCTION, MEASURED IN BU","50,766,917"
323,2007,YEAR,"PRODUCTION, MEASURED IN BU","845,597,953"
324,2007,YEAR,"PRODUCTION, MEASURED IN BU","188,266,152"
325,2007,YEAR,"PRODUCTION, MEASURED IN BU","2,586,255,887"
326,2007,YEAR,"PRODUCTION, MEASURED IN BU","564,045,708"
327,2007,YEAR,"PRODUCTION, MEASURED IN BU","254,289,223"
328,2007,YEAR,"PRODUCTION, MEASURED IN BU","510,979,422"
329,2007,YEAR,"PRODUCTION, MEASURED IN BU","3,379,896,951"
330,2007,YEAR,"PRODUCTION, MEASURED IN BU","12,738,519,330"
331,2007,YEAR,"PRODUCTION, MEASURED IN BU","13,037,875,000"
332,2008,YEAR,"PRODUCTION, MEASURED IN BU","12,043,203,000"
333,2009,YEAR,"PRODUCTION, MEASURED IN BU","13,067,156,000"
334,2010,YEAR,"PRODUCTION, MEASURED IN BU","12,425,330,000"
335,2011,YEAR,"PRODUCTION, MEASURED IN BU","12,313,956,000"
336,2012,YEAR,"PRODUCTION, MEASURED IN BU","3,670,111,522"
337,2012,YEAR,"PRODUCTION, MEASURED IN BU","2,200,693,950"
338,2012,YEAR,"PRODUCTION, MEASURED IN BU","31,996,117"
339,2012,YEAR,"PRODUCTION, MEASURED IN BU","1,353,135,191"
340,2012,YEAR,"PRODUCTION, MEASURED IN BU","46,824,759"
341,2012,YEAR,"PRODUCTION, MEASURED IN BU","691,910,594"
342,2012,YEAR,"PRODUCTION, MEASURED IN BU","164,867,435"
343,2012,YEAR,"PRODUCTION, MEASURED IN BU","1,995,672,974"
344,2012,YEAR,"PRODUCTION, MEASURED IN BU","436,095,935"
345,2012,YEAR,"PRODUCTION, MEASURED IN BU","341,411,043"
346,2012,YEAR,"PRODUCTION, MEASURED IN BU","422,425,946"
347,2012,YEAR,"PRODUCTION, MEASURED IN BU","2,648,376,213"
348,2012,YEAR,"PRODUCTION, MEASURED IN BU","2,755,823,158"
349,2012,YEAR,"PRODUCTION, MEASURED IN BU","1,125,062"
350,2012,YEAR,"PRODUCTION, MEASURED IN BU","34,337,667"
351,2012,YEAR,"PRODUCTION, MEASURED IN BU","106,998,189"
352,2012,YEAR,"PRODUCTION, MEASURED IN BU","149,964,894"
353,2012,YEAR,"PRODUCTION, MEASURED IN BU","135,024,469"
354,2012,YEAR,"PRODUCTION, MEASURED IN BU","3,990,252,069"
355,2012,YEAR,"PRODUCTION, MEASURED IN BU","151,007,021"
356,2012,YEAR,"PRODUCTION, MEASURED IN BU","948,568,143"
357,2012,YEAR,"PRODUCTION, MEASURED IN BU","29,360,280"
358,2012,YEAR,"PRODUCTION, MEASURED IN BU","1,954,353,807"
359,2012,YEAR,"PRODUCTION, MEASURED IN BU","76,595,398"
360,2012,YEAR,"PRODUCTION, MEASURED IN BU","1,282,348"
361,2012,YEAR,"PRODUCTION, MEASURED IN BU","5,498,175,131"
362,2012,YEAR,"PRODUCTION, MEASURED IN BU","38,960,445"
363,2012,YEAR,"PRODUCTION, MEASURED IN BU","771,305,012"
364,2012,YEAR,"PRODUCTION, MEASURED IN BU","3,407,464"
365,2012,YEAR,"PRODUCTION, MEASURED IN BU","94,330,894"
366,2012,YEAR,"PRODUCTION, MEASURED IN BU","1,366,916,654"
367,2012,YEAR,"PRODUCTION, MEASURED IN BU","10,726,689"
368,2012,YEAR,"PRODUCTION, MEASURED IN BU","251,074,339"
369,2012,YEAR,"PRODUCTION, MEASURED IN BU","2,296,748,122"
370,2012,YEAR,"PRODUCTION, MEASURED IN BU","483,059"
371,2012,YEAR,"PRODUCTION, MEASURED IN BU","1,285,747"
372,2012,YEAR,"PRODUCTION, MEASURED IN BU","5,370,180,197"
373,2012,YEAR,"PRODUCTION, MEASURED IN BU","41,290,732"
374,2012,YEAR,"PRODUCTION, MEASURED IN BU","800,434,659"
375,2012,YEAR,"PRODUCTION, MEASURED IN BU","3,510,227"
376,2012,YEAR,"PRODUCTION, MEASURED IN BU","99,450,037"
377,2012,YEAR,"PRODUCTION, MEASURED IN BU","1,407,283,176"
378,2012,YEAR,"PRODUCTION, MEASURED IN BU","11,197,089"
379,2012,YEAR,"PRODUCTION, MEASURED IN BU","263,359,587"
380,2012,YEAR,"PRODUCTION, MEASURED IN BU","2,331,659,208"
